Individual ID	Age average
SZ15	1,442
SZ2	1,442
SZ3	1,442
SZ36	1,442
SZ4	1,442
SZ45	1,442
SZ5	1,442
SZ43	1,431
SZ1	1,250
DA199	706
DA119	1,600
NEO128	7,141
kol6	6,775
kol2	6,505
RISE566	4,106
RISE586	4,000
RISE577	4,000
DA111	2,758
DA112	2,661
RISE569	1,235
PL_N22	6,291
PL_N36	6,250
PL_N26	6,151
PL_N25	6,250
PL_N27	6,250
PL_N31	6,138
PL_N28	6,074
PL_N42	6,055
PL_N18	5,463
PL_N19	5,462
PL_N20	5,462
NEO641	5,132
NEO640	4,900
PL_N38	5,033
RISE1166	4,908
RISE1171	4,768
RISE1161	4,757
RISE1170	4,749
RISE1162	4,747
RISE1165	4,743
RISE1169	4,741
RISE1163	4,735
RISE1159	4,730
RISE1167	4,728
RISE1160	4,714
RISE1168	4,676
RISE1172	4,675
RISE1173	4,634
RISE1164	4,470
RISE1252	4,725
RISE1241	4,753
RISE1250	4,725
RISE1249	4,737
RISE1248	4,725
RISE1243	4,725
RISE1247	4,725
RISE1246	4,715
RISE1254	4,725
poz81	4,705
poz44	4,675
PL_N44	4,450
PL_N45	4,405
PL_N47	4,405
PL_N49	4,405
RISE431	4,117
PL_N17	3,846
RISE109	3,813
RISE154	3,795
RISE150	3,739
VK212	889
VK211	700
VK154	850
VK155	850
VK156	850
VK157	850
VK494	850
cim359	2,873
cim358	2,840
cim357	2,810
scy305	2,254
scy300	2,253
scy192	2,250
scy197	2,250
scy301	2,248
scy311	2,247
scy303	2,242
NEO527	10,924
Ukraine_N1	10,643
NEO545	10,829
NEO494	10,741
NEO492	10,655
NEO496	10,655
NEO497	10,655
NEO550	11,036
NEO501	10,622
NEO549	10,565
NEO521	8,270
NEO516	7,096
NEO270	7,293
NEO268	7,245
Ukraine_HG1	7,250
NEO551	7,286
NEO498	7,056
NEO553	6,977
NEO524	6,976
NEO552	6,970
NEO507	6,887
NEO528	6,842
NEO529	6,744
NEO503	6,706
NEO514	6,623
NEO502	6,616
NEO508	6,304
NEO304	7,006
NEO302	6,839
NEO300	6,678
NEO262	6,513
NEO265	5,535
NEO305	6,611
NEO522	6,055
NEO509	4,064
MJ-06	4,630
MJ-09	4,286
MJ-31	3,120
MJ-12	2,861
MJ-32	2,547
MJ-08	2,596
MJ-14	2,613
MJ-16	2,535
scy010	2,619
scy009	2,550
MJ-35	2,530
MJ-13	2,528
MJ-34	2,242
scy011	2,183
MJ-46	2,223
MJ-15	2,252
NEO278	2,743
NEO518	2,152
MJ-37	1,636
MJ-19	1,554
VK539	800
VK540	800
VK542	800
Ker1	1,622
VK541	250
Kostenki	37,470
SII	34,234
SIII	34,093
SIV	33,992
SI	32,823
Sidelkino	11,259
NEO202	10,853
NEO539	10,057
NEO100	9,927
NEO536	9,568
NEO537	8,052
NEO87	8,204
NEO88	7,858
Karelia	8,280
NEO555	8,277
NEO559	8,268
NEO561	8,184
NEO558	8,085
NEO560	7,905
NEO557	7,912
NEO556	7,030
NEO554	8,065
NEO185	7,028
NEO186	6,919
NEO192	6,842
NEO181	6,034
NEO180	5,939
NEO158	5,754
NEO195	5,747
NEO189	5,604
NEO194	5,597
NEO179	5,465
NEO183	5,456
NEO193	5,451
NEO188	5,390
NEO182	5,386
NEO178	5,268
NEO197	5,245
NEO187	4,940
NEO184	5,457
NEO162	6,681
NEO171	5,835
NEO164	5,669
NEO166	5,663
NEO167	5,656
NEO163	5,604
NEO170	5,563
NEO168	5,453
NEO160	5,263
NEO113	7,298
NEO212	7,393
NEO209	7,296
NEO204	7,228
NEO207	7,097
NEO210	7,108
NEO172	6,774
NEO173	6,343
NEO174	5,307
NEO175	4,607
NEO687	5,443
RISE550	4,935
RISE546	4,850
RISE548	4,850
RISE547	4,711
RISE240	4,706
RISE552	4,446
RISE555	4,627
RISE386	4,122
RISE392	3,961
RISE394	3,802
RISE395	3,808
kzb008	3,742
kzb005	3,737
kzb002	3,721
kzb007	3,705
kzb003	3,650
kzb006	3,649
kzb009	3,644
kzb001	3,594
mur004	3,743
mur003	3,734
RISE523	3,448
RISE525	3,000
NEO61	3,306
NEO60	3,300
NEO62	3,286
MJ-42	2,618
MJ-41	2,525
MJ-56	2,514
LS-13	2,309
MJ-44	2,217
MJ-43	2,273
DA134	1,933
DA141	1,933
DA145	1,933
DA143	1,933
DA144	1,933
DA139	1,933
chy001	1,878
chy002	1,806
tem002	1,790
tem001	1,762
tem003	1,725
NEO538	2,250
VIII9	1,813
VII15	1,934
VIII5	1,763
DA243	1,533
DA162	1,700
DA146	1,300
DA160	1,300
DA161	1,300
DA164	850
VK221	1,039
VK219	958
VK20	888
VK410	843
VK16	839
VK14	800
VK15	800
VK17	800
VK18	800
VK19	800
VK21	800
VK218	800
VK22	800
VK220	800
VK23	800
VK408	800
VK409	800
VK223	850
VK224	850
VK254	850
VK272	850
VK273	850
VK466	850
VK159	850
VK160	750
DA142	1,250
NEO283	25,635
NEO281	9,723
KK1	9,720
SATP	13,255
NEO110	7,594
RISE423	3,257
DA31	3,314
DA35	3,314
RISE407	2,955
RISE397	2,902
AH2	9,931
AH4	9,930
AH1	9,900
GD13a	9,846
NEO817	9,392
NEO819	9,291
NEO816	8,700
WC1	9,219
Bon002	10,078
Bon004	10,076
Bon001	10,032
Tep002	8,585
Tep003	8,505
Tep004	8,295
Tep006	8,230
Bar31	8,279
Bar8	8,071
Kumtepe006	6,682
MA2210	4,700
MA2212	4,700
MA2213	4,700
MA2200	3,800
MA2203	3,800
MA2205	3,800
MA2206	3,800
MA2208	3,800
MA2197	2,900
MA2198	2,900
MA2195	500
MA2196	500
ERS1790733	3,770
ERS1790729	3,750
ERS1790731	3,750
ERS1790730	3,650
ERS1790732	3,650
ERS3189338	1,637
ERS3189333	1,628
ERS3189339	1,525
ERS3189342	1,525
ERS3189335	1,421
ERS3189343	861
ERS3189348	800
ERS3189349	800
ERS3189351	800
ERS3189357	800
ERS3189353	781
ERS3189352	724
ERS3189350	713
ERS3189355	702
NEO310	6,550
DA381	5,181
DA380	5,181
DA383	5,150
BOT2016	5,450
BOT14	5,264
BOT15	5,135
Yamnaya	4,903
NEO57	4,496
EBA2	4,494
EBA1	4,112
NEO900	3,804
NEO904	3,700
NEO899	3,633
DA231	3,542
DA10	2,817
DA17	2,737
Ze6b	2,700
DA19	2,725
DA221	2,719
DA13	2,667
IS2	2,700
DA11	2,698
DA18	2,667
DA14	2,667
DA15	2,668
DA16	2,667
DA202	2,662
DA129	2,375
DA20	2,300
DA130	2,271
DA223	2,339
DA220	2,150
DA227	2,150
DA201	2,080
DA26	2,000
NEO902	1,986
DA30	1,962
DA92	1,983
DA229	1,950
DA125	1,800
DA123	1,682
DA121	1,682
DA226	1,850
DA206	1,757
DA127	1,672
DA95	1,680
DA224	1,682
DA177	1,650
DA27	1,592
DA228	1,250
DA89	1,265
DA87	1,284
DA124	1,279
DA93	1,218
DA94	1,218
NEO901	1,168
DA222	1,100
DA230	1,100
DA126	1,040
DA204	1,039
DA179	900
DA205	850
DA203	850
DA23	880
DA128	720
DA28	700
DA29	700
DA57	2,080
DA58	2,078
DA59	2,281
DA53	2,400
DA51	2,305
DA49	2,271
DA50	2,250
DA56	2,096
DA55	2,032
DA47	2,076
DA48	2,250
DA54	1,682
DA52	1,532
DA70	1,849
DA72	1,681
DA80	1,673
DA73	1,672
DA71	1,670
DA69	1,592
DA65	1,543
DA82	1,820
DA85	1,768
DA81	1,767
DA98	1,848
DA105	1,774
DA104	1,774
DA101	1,713
DA100	1,673
DA96	1,680
DA74	1,540
DA66	1,489
DA68	1,364
DA385	1,467
DA86	1,501
DA118	911
DA106	780
DA116	760
DA99	742
DA117	263
Andaman	90
Th519	1,720
Th521	1,717
Th530	1,650
Th531	1,614
La368	7,872
La364	2,976
La898	2,500
La727	2,281
Vt833	4,149
Vt880	3,950
Vt778	2,625
Vt777	2,265
Vt808	2,251
Vt781	2,249
Vt779	2,247
Vt796	2,172
Vt719	154
Ma911	4,288
Ma912	2,520
Ma555	376
Ma554	416
In662	2,176
In661	1,872
Phl534	1,805
M010	2,270
M15-1	2,250
M819	2,250
X3	2,250
F004	2,230
M012	2,229
M820	2,217
Funadomari_5	3,755
Funadomari_23	3,755
IK002	2,569
DA39	1,948
DA41	2,283
DA38	2,125
DA43	2,095
DA45	2,095
UstIshim	45,020
Yana	31,950
Yana2	31,950
MA1	24,305
Kolyma_River	9,786
NEO72	8,356
NEO73	7,681
NEO116	8,187
NEO236	7,678
NEO235	7,669
NEO237	7,634
NEO238	7,564
NEO239	7,556
NEO240	7,508
DA245	7,941
DA249	7,840
DA246	7,727
DA247	7,701
DA248	7,645
DA250	7,392
DA252	7,341
DA251	7,336
DA253	7,246
DA362	7,242
DA357	7,803
DA341	7,585
DA359	7,559
DA340	6,990
NEO117	7,656
NEO115	7,550
NEO922	7,549
NEO911	6,780
NEO923	5,814
NEO916	5,727
NEO915	5,727
NEO907	5,649
NEO912	5,536
NEO917	5,462
NEO918	5,458
NEO841	7,156
NEO843	7,060
NEO199	7,169
NEO201	7,064
NEO200	7,007
NEO63	7,057
NEO64	6,050
NEO75	7,058
NEO78	6,953
NEO67	7,048
NEO229	6,586
NEO292	6,036
NEO309	5,824
NEO102	5,781
NEO83	5,664
DA342	5,610
DA344	5,608
DA355	5,461
DA345	5,456
RISE507	5,077
NEO68	4,899
NEO77	4,732
NEO79	4,631
NEO230	4,899
NEO232	4,803
NEO231	4,703
NEO298	4,614
NEO80	4,792
NEO65	4,804
RISE511	4,744
RISE509	4,732
RISE510	4,610
DA358	4,710
DA360	4,706
DA354	4,626
RISE675	4,555
RISE680	4,300
RISE681	4,300
RISE685	4,300
RISE684	4,253
RISE683	3,977
RISE677	4,482
RISE718	4,411
RISE719	4,300
RISE667	4,300
RISE671	4,300
RISE672	4,300
RISE673	4,300
RISE515	4,193
RISE674	4,079
RISE516	4,069
RISE670	3,963
DA337	4,331
DA338	4,200
DA336	4,200
DA335	4,200
DA334	4,121
DA339	4,040
DA343	4,162
DA353	4,162
DA361	4,162
DA356	4,162
RISE664	4,283
RISE662	4,070
NEO921	4,098
NEO910	3,595
NEO76	4,067
RISE505	3,636
RISE503	3,569
RISE500	3,550
RISE512	3,322
NEO81	3,297
RISE493	3,429
RISE494	3,292
RISE502	3,351
RISE499	3,100
RISE496	3,288
RISE495	3,100
RISE497	3,100
M9984	3,070
M0831	3,050
RISE554	2,875
NEO70	2,752
DA2	2,817
DA3	2,817
DA4	2,817
DA5	2,817
DA6	2,817
DA7	2,817
DA8	2,817
DA9	2,817
RISE602	2,450
RISE492	2,253
NEO250	2,155
NEO248	2,115
NEO251	2,005
NEO241	1,971
NEO249	1,964
NEO247	1,906
NEO242	1,788
NEO246	1,636
RISE600	2,450
RISE601	2,450
RISE504	1,145
Yana_Young	799
Saqqaq	3,885
19651	7,619
939	6,075
CK-13	4,845
CK-09	404
RM-83	500
MARC1492	387
USR1	11,435
TrailCreek	8,956
Clovis	12,649
AHUR_2064	10,970
AHUR770c	10,970
Kennewick	8,770
SN-44	5,337
SN-17	5,148
SN-54	4,472
SN-37	3,150
SN-40	3,150
SN-48	3,150
SN_1	3,150
SN_10	3,150
SN_16	3,150
SN_38	3,150
SN_15	1,762
SN_3	1,575
SN-51	1,489
SN-11	1,100
SN-52	889
SN-13	811
SN-53	741
Lovelock1	1,943
Lovelock2	1,880
Lovelock4	1,880
Lovelock3	627
SN-50	1,477
PS-34	1,550
PS-09P	1,550
PS-03	1,466
PS-06	1,463
PS-07	1,454
NC_C	1,344
CR-01	1,052
SM-02	737
SM-01	611
SC-05	1,051
SC-03	989
SC-07	950
SC_1	950
SC_6	950
SC-04	813
CT-01	414
523a_C	125
US-14	291
Ala1_C	300
MX_1	2,700
B_3	2,700
BC25	500
SMP5	6,821
IL7	1,778
IL3	1,700
IL5	1,667
IL2	1,600
IL4	1,478
K1	
Sumidouro5	10,405
Sumidouro7	10,271
Sumidouro6	10,154
Sumidouro4	10,096
Sumidouro8	9,849
Aconcagua	500
890	100
894	100
895	100
MA577	100
5832	7,293
A460	4,640
Nr74	100
AM71	100
